"","id","mintars"
"385",652,20.15
"386",652,20.15
"387",653,20.35
"388",653,19.15
"389",653,19.4
"390",655,20.4
"391",655,20.75
"392",655,20.9
"393",655,20.6
"394",656,19.8
"395",656,19.9
"396",656,NA
"397",656,19.5
"398",657,20.7
"399",657,20.2
"400",657,NA
"401",657,20.3
"402",658,20.05
"403",658,20.55
"404",658,20.45
"405",658,20.4
"406",658,20.2
"407",659,19.7
"408",659,NA
"409",659,19.6
"410",659,19.8
"411",659,19.25
"412",659,18.9
"413",661,19.3
"414",661,19
"415",661,18.6
"416",661,18.95
"417",664,18.9
"418",664,NA
"419",664,NA
"420",664,NA
"421",664,NA
"422",664,18.55
"423",665,20.4
"424",665,19.45
"425",665,19.6
"426",665,19.9
"427",665,NA
"428",667,20.05
"429",667,19.9
"430",667,20
"431",668,20.55
"432",668,NA
"433",669,20
"434",669,NA
"435",669,20.4
"436",669,20
"437",669,20.2
"438",669,NA
"439",669,NA
"440",669,NA
"441",672,19.35
"442",672,19.25
"443",672,19.3
"444",672,19.25
"445",672,NA
"446",672,NA
"447",677,20.1
"448",677,20.25
"449",677,20.1
"450",677,NA
"451",677,20.1
"452",678,19.3
"453",678,NA
"454",678,19.4
"455",678,19.4
"456",678,18.85
"457",678,NA
"458",678,19.25
"459",678,NA
"460",679,19.1
"461",679,19.1
"462",680,19.5
"463",680,NA
"464",680,NA
"465",680,NA
"466",680,19.4
"467",680,19.4
"468",680,NA
"469",681,20.1
"470",681,19.3
"471",681,20.6
"472",681,19.4
"473",682,17.6
"474",682,NA
"475",682,18.95
"476",682,19.15
"477",682,NA
"478",682,NA
"479",682,NA
"480",682,NA
"481",683,19.45
"482",683,19.15
"483",683,19.25
"484",683,18.6
"485",683,19.3
"486",683,19
"487",684,19.75
"488",684,NA
"489",684,NA
"490",684,20.4
"491",684,19.1
"492",684,19.25
"493",686,20
"494",687,NA
"495",687,19.75
"496",687,19.5
"497",687,19.55
"498",687,19.45
"499",687,19.3
"500",687,NA
"501",687,NA
"502",687,NA
"503",687,19.5
"504",687,NA
"505",687,NA
"506",687,19.5
"507",687,18.65
"508",688,20.15
"509",688,NA
"510",688,20.2
"511",688,19.7
"512",688,19.1
"513",688,NA
"514",688,19.75
"515",688,NA
"516",689,19.2
"517",689,19.8
"518",689,NA
"519",689,19.25
"520",689,19.45
"521",689,19.35
"522",690,20.05
"523",691,19.05
"524",691,20.15
"525",691,NA
"526",691,NA
"527",691,20.05
"528",691,20.1
"529",691,20.25
"530",694,20.55
"531",694,20.75
"532",694,20.2
"533",694,19.8
"534",694,19.9
"535",696,19.45
"536",696,19.05
"537",696,20.15
"538",696,20
"539",696,NA
"540",696,NA
"541",696,NA
"542",696,21
"543",698,20.4
"544",699,20.85
"545",699,21
"546",699,19.1
"547",700,20.3
"548",700,20.6
"549",700,NA
"550",700,20.05
"551",700,21.6
"552",700,NA
"553",700,NA
"554",701,20.7
"555",703,20.9
"556",703,20.5
"557",703,NA
"558",703,20.6
"559",703,20.6
"560",703,NA
"561",703,NA
"562",704,20.1
"563",704,NA
"564",704,NA
"565",705,19.3
"566",705,NA
"567",705,NA
"568",705,NA
"569",705,19.2
"570",705,19.2
"571",705,19.45
"572",705,19.25
"573",705,NA
"574",708,19
"575",709,18.7
"576",709,18.7
"577",711,NA
"578",712,19.9
"579",712,NA
"580",712,19.9
"581",712,20.05
"582",713,18.6
"583",714,19.9
"584",714,19.4
"585",714,19.3
"586",715,19.3
"587",715,NA
"588",715,19.45
"589",715,19.15
"590",715,19.35
"591",715,NA
"592",715,NA
"593",715,NA
"594",716,20.55
"595",716,NA
"596",716,20.6
"597",717,21
"598",717,20.84
"599",717,20.75
"600",717,NA
"601",717,21
"602",717,20.6
"603",717,20.6
"604",775,NA
"605",808,NA
"606",808,20.15
"607",809,19.95
"608",809,20.5
"609",813,20
"610",813,NA
"611",815,19.7
"612",817,20.75
"613",818,20.7
"614",818,21.1
"615",821,21.2
"616",821,21.2
"617",821,NA
"618",821,20.7
"619",826,NA
"620",826,NA
"621",828,20.15
"622",828,20
"623",829,19.2
"624",829,NA
"625",829,19.45
"626",831,19.8
"627",831,20.2
"628",833,20.35
"629",833,21
"630",844,19.1
"631",844,NA
"632",844,19.65
"633",844,19.95
"634",846,19.4
"635",847,19.05
"636",847,18.8
"637",849,NA
"638",849,NA
"639",849,NA
"640",849,21.1
"641",854,20.55
"642",854,20.45
"643",869,19.9
"644",881,18.95
"645",884,19.95
"646",888,20
"658",959,18.3
"659",1013,19.8
"660",1013,19.75
"661",1013,NA
"662",1013,NA
"663",1013,19.45
"664",1014,19
"665",1014,18.3
"666",1014,18.5
"667",1014,18.5
"668",1014,18.75
"669",1014,19
"670",1014,19
"671",1014,18.5
"672",1015,19.5
"673",1016,18
"674",1016,18.5
"675",1017,20
"676",1017,19.5
"677",1017,20.1
"678",1017,NA
"679",1018,20
"680",1018,20.25
"681",1018,19.75
"682",1018,20.25
"683",1018,20
"684",1018,19.5
"685",1018,19.2
"686",1018,19.45
"687",1018,18.8
"688",1020,19
"689",1020,19.75
"690",1020,19
"691",1020,18.8
"692",1021,20
"693",1021,20.75
"694",1022,20.7
"695",1022,20.55
"696",1023,20
"697",1023,20
"698",1023,20
"699",1023,20
"700",1024,20
"701",1025,20
"702",1026,20.75
"703",1026,20.75
"704",1026,20.4
"705",1029,20.1
"706",1030,19
"707",1030,19.5
"708",1030,19.25
"709",1032,19
"710",1032,19
"711",1034,20.25
"712",1034,20
"713",1034,20
"714",1034,20
"715",1036,19.5
"716",1037,19.25
"717",1037,19.25
"718",1037,19
"719",1037,19.5
"720",1037,19.75
"721",1037,19.5
"722",1037,18.8
"723",1038,19
"724",1038,19.25
"725",1038,19
"726",1038,19.25
"727",1039,21
"728",1039,20
"729",1039,20
"730",1039,20.25
"731",1042,19.75
"732",1042,20
"733",1042,19.75
"734",1042,20
"735",1044,20.75
"736",1044,21.25
"737",1044,21.25
"738",1044,20.5
"739",1044,NA
"740",1045,20
"741",1045,20.25
"742",1045,20
"743",1045,19.8
"744",1046,20
"745",1048,19.3
"746",1052,19.5
"747",1052,20
"748",1052,19.75
"749",1052,20
"750",1053,19.25
"751",1053,19
"752",1056,20.5
"753",1056,20.5
"754",1056,20.5
"755",1056,19.5
"756",1057,20.5
"757",1057,20.5
"758",1057,20.9
"759",1057,20.7
"760",1057,20.75
"761",1057,20.6
"762",1057,20.7
"763",1058,20
"764",1058,20
"765",1058,20
"766",1058,20.25
"767",1058,20.25
"768",1058,21
"769",1058,20.25
"770",1058,20.25
"771",1059,19
"772",1059,18.75
"773",1059,18.75
"774",1059,19.25
"775",1059,19.3
"776",1060,20.75
"777",1060,19.75
"778",1061,19
"779",1061,19.25
"780",1061,18.75
"781",1061,19
"782",1063,18.75
"783",1063,19.25
"784",1063,18.8
"785",1063,18.8
"786",1064,19.25
"787",1064,19.5
"788",1064,19
"789",1064,19.5
"790",1064,18.75
"791",1064,19
"792",1065,19
"793",1065,18.75
"794",1065,19.5
"795",1065,19.25
"796",1066,20
"797",1066,19.75
"798",1066,19.5
"799",1067,20.5
"800",1067,21
"801",1068,20
"802",1069,21
"803",1069,20.5
"804",1070,21
"805",1070,21
"806",1070,21.25
"807",1070,21.25
"808",1072,20.75
"809",1072,20.75
"810",1072,20.5
"811",1072,20.5
"812",1072,20.25
"813",1072,20.2
"814",1074,19.5
"815",1074,19.5
"816",1075,20
"817",1075,19.75
"818",1075,19.75
"819",1075,19.5
"820",1075,19.1
"821",1075,20
"822",1075,20.4
"823",1075,19.8
"824",1075,20.4
"825",1075,19.55
"826",1076,19
"827",1076,19
"828",1076,19.1
"829",1077,20
"830",1077,19.75
"831",1078,19
"832",1078,19
"833",1080,19.25
"834",1080,NA
"835",1080,19
"836",1081,19.5
"837",1084,20
"838",1084,19.75
"839",1084,20
"840",1085,19
"841",1085,19
"842",1085,19.5
"843",1085,19
"844",1085,19.25
"845",1085,18.75
"846",1085,NA
"847",1085,19.75
"848",1086,19.75
"849",1086,19.25
"850",1086,19.75
"851",1086,19.5
"852",1086,19.75
"853",1086,19.2
"854",1086,19.3
"855",1086,NA
"856",1087,18.5
"857",1087,20
"858",1087,21.5
"859",1087,19.5
"860",1087,19.25
"861",1087,19.5
"862",1088,19.5
"863",1088,19.5
"864",1089,20.5
"865",1089,20.25
"866",1089,21
"867",1090,18.75
"868",1090,18.75
"869",1090,19.25
"870",1090,19
"871",1090,19
"872",1092,19.5
"873",1092,19.25
"874",1092,20
"875",1094,20
"876",1094,20
"877",1094,20.25
"878",1094,NA
"879",1096,20.75
"880",1096,21
"881",1096,NA
"882",1096,20.5
"883",1096,20
"884",1096,20.75
"885",1098,19.75
"886",1098,20
"887",1098,NA
"888",1100,20
"889",1101,19
"890",1101,19
"891",1101,18.75
"892",1101,19
"893",1102,21.5
"894",1104,19
"895",1104,18.75
"896",1104,19.25
"907",1110,20.5
"908",1110,20.25
"909",1110,NA
"910",1110,20.1
"911",1110,20.8
"912",1110,20
"913",1111,19
"914",1111,19
"915",1111,19
"916",1111,19
"917",1111,19.25
"918",1114,NA
"919",1114,19.75
"920",1114,NA
"921",1114,19.9
"922",1116,19.5
"923",1116,19.75
"924",1116,19.75
"925",1116,19.5
"926",1116,19.75
"927",1116,19.5
"928",1116,19.6
"929",1120,19.6
"930",1120,19.8
"931",1120,19.6
"932",1122,20
"933",1122,20.25
"934",1122,19.5
"935",1122,20
"936",1122,20.1
"937",1122,19.5
"938",1122,NA
"939",1122,20.2
"940",1123,20.25
"941",1123,20.75
"942",1123,20.2
"943",1123,20.4
"944",1124,20
"945",1124,19.5
"946",1124,19.75
"947",1124,20
"948",1124,20.1
"949",1124,19.9
"950",1124,19.75
"951",1124,NA
"952",1124,NA
"953",1124,NA
"954",1126,20.9
"955",1126,21
"956",1126,20.75
"957",1126,21
"958",1126,21
"959",1126,20.75
"960",1126,20.3
"961",1126,21
"962",1126,20.8
